ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11211889,JB126779,1/20/2018 20:00,056XX S KENWOOD AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,235,2,5,41,11,1186066,1867977,2018,5/4/2018 15:51,41.79285887,-87.59324928,"(41.792858871, -87.593249282)"
11355615,JB317234,6/21/2018 13:00,056XX S DORCHESTER AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,235,2,5,41,5,1186508,1867985,2018,6/28/2018 15:59,41.79287037,-87.59162829,"(41.792870371, -87.591628291)"
11383532,JB353324,7/16/2018 10:05,056XX S BLACKSTONE AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,235,2,5,41,6,1186873,1867993,2018,7/23/2018 15:57,41.79288367,-87.59028965,"(41.792883674, -87.590289646)"
11495660,JB500578,11/2/2018 1:20,056XX S HARPER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,235,2,5,41,6,1187230,1868000,2018,11/9/2018 16:14,41.79289441,-87.58898037,"(41.792894408, -87.588980367)"
11203467,JB115280,1/13/2018 18:10,056XX S LAKE PARK AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,TRUE,FALSE,235,2,5,41,3,1187499,1868005,2018,6/18/2018 15:49,41.79290173,-87.58799383,"(41.792901733, -87.587993832)"
11260059,JB191017,3/18/2018 21:25,056XX S LAKE PARK AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,235,2,5,41,08B,1187499,1868005,2018,5/4/2018 15:51,41.79290173,-87.58799383,"(41.792901733, -87.587993832)"
11199925,JB110596,1/9/2018 22:30,056XX S STONY ISLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1187863,1868017,2018,5/4/2018 15:51,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11203806,JB115860,1/13/2018 19:30,056XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187863,1868017,2018,5/4/2018 15:51,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11220447,JB137683,2/1/2018 10:00,056XX S STONY ISLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1187863,1868017,2018,5/4/2018 15:51,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11234124,JB156884,2/17/2018 12:00,056XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187863,1868017,2018,5/4/2018 15:51,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11262292,JB193941,3/20/2018 23:00,056XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1187863,1868017,2018,5/4/2018 15:51,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11376920,JB345567,7/10/2018 7:30,056XX S STONY ISLAND AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,235,2,5,41,6,1187863,1868017,2018,7/17/2018 15:53,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11389746,JB362339,7/23/2018 19:00,056XX S STONY ISLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1187863,1868017,2018,7/30/2018 15:52,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11491098,JB494722,10/22/2018 19:00,056XX S STONY ISLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1187863,1868017,2018,11/1/2018 16:04,41.79292599,-87.58665873,"(41.792925994, -87.586658725)"
11546793,JB567490,12/19/2018 22:00,056XX S KENWOOD AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,235,2,5,41,5,1186064,1868029,2018,12/28/2018 16:06,41.79300161,-87.59325497,"(41.79300161, -87.593254974)"
11220569,JB137997,2/1/2018 8:30,008XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1182618,1868057,2018,5/4/2018 15:51,41.79315916,-87.60589005,"(41.793159155, -87.605890048)"
11387016,JB358548,7/20/2018 19:00,008XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1182618,1868057,2018,7/27/2018 15:56,41.79315916,-87.60589005,"(41.793159155, -87.605890048)"
11388944,JB358481,7/20/2018 15:45,008XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1182618,1868057,2018,8/1/2018 15:51,41.79315916,-87.60589005,"(41.793159155, -87.605890048)"
11352793,JB311307,6/17/2018 21:12,056XX S LAKE SHORE DR SB,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,331,3,5,41,04A,1189613,1868138,2018,6/27/2018 16:08,41.79321614,-87.5802379,"(41.793216138, -87.580237899)"
